gemeente	0.066 0.22 0.34 0.21 0.164
trek	0.02 12.744 0.064 13.598 0.574
hibachi	0.002 50.446 0.538 0.004 0.01
tree	66.982 1.774 181.56 70.528 0.156
project	137.568 139.878 0.664 3.846 0.044
37_1243	0.024 28.63 0.302 0.038 0.006
1272_2128	0.886 0.796 0.508 0.304 0.506
boston	0.008 0.546 0.184 117.492 302.77
1748_2193	0.004 0.2 0.184 10.498 0.114
14_19	0.034 0.02 21.692 0.234 0.02
14_14	0.004 0.038 69.922 0.96 25.076
responsible	0.026 15.04 0.154 0.086 0.694
1800_1915	0.05 0.266 0.292 0.244 0.148
recommended	0.008 0.826 0.686 45.458 0.022
causing	0.106 0.418 0.162 13.87 3.444
doors	0.058 36.986 0.142 0.044 47.77
season	0.688 331.9 0.122 109.264 0.026
2512_3023	0.062 0.234 0.29 0.24 0.174
kremlin	0.068 0.294 0.272 0.244 0.122
adrienne's	0.062 25.928 0 0.008 0.002
withdraw	0.014 2.794 0.758 1.342 0.092
shall	4.384 15.172 18.538 0.334 29.572
thrilled	0.164 0.146 0.074 0.016 15.6
swiss	0.014 0.806 0.054 35.514 0.612
mouth	57.69 0.074 37.048 0.174 0.014
2747_17	0.06 0.274 0.296 0.22 0.15
letter	24.044 0.024 1.958 0.024 15.95
episode	0.112 0.056 77.66 0.148 47.024
grove	0.018 0.02 262.942 0.272 430.748
professor	0.436 4.782 102.57 5.04 1.172
camp	0.008 81.986 0.054 2.114 174.838
verlaine	0.004 0.014 33.948 0.012 0.022
164_1236	7.654 0.928 0.352 1.444 0.622
tech	266.744 166.98 0.004 0.016 0.256
1762	0.044 0.052 135.064 107.43 122.41
1748_1222	75.198 2.552 1.478 0.096 0.676
1766	0.054 0.062 0.014 30.84 0.03
came	17.458 80.634 118.422 0.008 103.478
saying	98.038 0.012 88.578 0.368 0.004
2964_2949	0.418 1.278 0.864 0.672 0.768
bomb	0.06 67.734 7.788 0.194 0.224
terese	0.008 0.802 1.806 0.342 0.042
tequila	0.024 1.45 146.494 0.016 0.016
psari	0.076 1.168 1.02 0.66 0.076
thai	0.02 957.936 0.022 0.02 0.002
lessons	0.186 0.118 0.06 32.618 0.018
1547	0.002 105.496 0.182 44.772 2.548
taketh	0.074 0.246 0.304 0.264 0.112
layout	4.506 3.652 1.416 0.42 0.006
hassock	0.222 0.03 4.526 0.052 13.17
ment	0.012 62.876 0.08 0.024 0.008
menu	0.028 203.884 0.622 1.398 0.068
orensanz	0.004 0.014 22.954 0.014 0.014
dippin'	0.004 0.814 1.112 0.042 0.028
mens	0.108 0.782 9.208 0.356 59.546
rihanna	0.028 16.662 0.008 0.074 0.228
bliss	41.802 0.86 80.018 4.156 0.164
rick	3.468 37.564 7.65 0.006 0.312
rich	0.13 79.062 0.378 0.066 16.364
loho'a	0.088 0.22 0.294 0.258 0.14
rice	0.16 290.106 0.252 0.47 0.012
1262_108	0.074 0.27 0.318 0.184 0.154
vaccinations	0.002 0.466 0.182 4.326 0.024
18_1780	0.136 0.522 22.11 0.124 0.108
lester	0.036 0.834 1.534 0.326 4.27
1271_1780	0.03 0.478 0.944 0.414 0.134
spilling	0.006 2.04 0.244 0.596 0.114
1806_2260	0.136 0.142 0.366 1.026 0.33
nicely	1.278 11.716 13.688 2.104 1.214
tights	7.226 2.6 0.116 2.554 0.504
coles	0.06 1.752 118.764 21.114 18.31
patch	43.764 3.396 0.664 0.142 0.034
1270_31	6.692 0.21 0.026 0.026 0.046
'n'	0.002 178.912 0.002 0.022 0.062
release	0.044 110.166 0.008 0.112 0.67
1300_1145	5.462 23.944 0.766 0.126 22.702
1792_1800	1.964 0.254 39.736 0.102 19.944
1792_1806	0.014 176.778 123.564 0.056 97.588
disaster	0.022 2.238 0.68 32.764 0.296
fair	0.01 0.062 0.026 630.708 1.194
acadamia	0.122 0.872 1.744 0.012 0.25
2690_2568	0.056 0.248 0.32 0.244 0.132
pinot	0.004 0.01 27.942 0.04 0.004
imho	0.104 5.168 0.128 5.566 0.034
fail	38.572 1.436 78.61 1.496 48.886
best	969.264 54.262 890.398 1059.04 0.032
manson	0.24 5.432 0.052 0.048 1.228
lots	122.748 2.008 22.814 176.096 0.334
1664_1800	0.224 0.79 0.13 0.384 0.472
loti	0.024 0.024 12.912 0.004 0.036
melissa	0.462 64.374 0.07 0.032 0.062
yogurt	0.34 129.384 0.706 0.464 0.106
ntura	0.072 0.722 0.924 0.724 0.558
1300_20	1.264 0.278 77.258 63.15 0.05
1300_1856	0.006 49.044 0.164 0.702 0.084
pirate	0.05 7.388 3.888 11.39 0.284
1300_25	0.236 51.67 0.114 0.754 0.226
homesies	0.09 0.368 0.13 1.196 0.216
1462_290	0.014 0.786 0.884 0.164 0.152
wtf	64.094 0.052 109.04 0.382 118.432
defiance	0.118 0.474 0.036 22.358 0.014
1841_1748	14.726 0.012 0.054 0.036 0.172
1059_1998	0.028 1.992 0.066 6.904 0.01
roller	0.012 0.022 0.098 34.852 0.016
2090_1083	0.094 0.252 0.288 0.226 0.14
ryerson	0.198 0.882 0.002 6.148 4.77
bachelorette	0.026 0.006 27.77 0.06 0.138
country	0.182 335.442 0.562 213.256 4.558
cup	127.412 0.046 0.134 421.956 40.452
2072_1030	0.08 0.614 0.844 0.388 0.074
1806_1792	225.046 179.992 12.77 1.772 0.42
1806_1793	2.788 7.73 14.528 0.028 0.926
dora	0.084 3 12.818 0.08 0.018
asked	18.814 104.754 0.31 1.364 3.758
1806_1798	2.844 3.07 0.106 0.576 3.404
1956_18	0.074 0.252 0.31 0.208 0.156
vain	1.234 5.522 0.756 0.004 0.484
kenka	0 0.034 27.946 0.018 0.002
northway	0.046 0.15 0.466 1.19 0.148
union	1042.18 0.038 1354.9 1743.87 0.008
ridgewood	154.956 5.436 7.402 290.478 0.728
much	251.304 355.992 322.362 38.31 468.032
stadium	0.04 1281.59 0.018 1207.33 0.016
jackass	0.114 0.144 54.846 2.84 0.056
2914_2913	0.074 0.264 0.272 0.248 0.142
dots	0.512 2.01 0.98 0.068 0.43
life	334.91 197.936 450.45 0.044 238.66
eastern	0.274 0.536 1.976 211.932 123.282
freehold	0.128 0.634 0.258 0.216 0.764
1573_14	0.012 0.556 0.3 1.016 0.116
child	75.4 0.184 7.486 4.816 0.114
2896_2786	0.078 0.224 0.3 0.234 0.164
chili	0.024 65.58 0.014 22.376 0.006
1806_40	0.412 3.394 0.31 0.306 1.578
spin	0.118 102.666 36.682 0.016 79.518
1813_168	0.044 1.044 0.684 0.098 0.13
chill	0.978 102.82 0.1 3.658 4.444
tabac	0.01 0.088 0.018 71.79 0.094
2517	58.09 0.212 0.012 285.394 2.292
2512	0.598 0.006 54.126 1.604 119.666
ridiculously	12.492 14.552 5.888 0.044 0.024
delicatessen	123.018 98.57 0.078 126.142 0.192
locksmith	0 0.048 25.924 0.02 0.008
1298_97	0.14 0.342 0.124 1 0.394
memorial	22.15 0.55 0.074 115.964 212.262
things	405.636 179.112 114.116 0.026 0.11
2794_2117	0.14 0.51 0.522 0.34 0.488
1800_300	2.43 0.158 11.356 4.17 17.886
eldridge	0.082 0.136 138.686 0.078 0.018
harmony	0.146 22.212 0.032 0.12 0.49
babies	1.52 3.804 8.056 86.958 0.662
2031_1856	0.058 0.262 0.33 0.224 0.126
tops	1.534 83.118 0.08 0.106 0.162
qdoba	8.208 90.55 0.042 0.132 0.068
1792_344	0.026 0.23 149.602 1.752 44.39
boiler	0.006 0.014 57.978 0.002 0
1792_341	0.048 0.044 0.222 6.378 20.308
supper	0.004 0.014 166.958 0.022 0.002
tuna	0 95.822 0.002 0.138 0.038
crosstown	0.814 0.194 0.018 0.018 57.956
burgers	0.464 623.728 0.072 0.666 0.07
corporate	274.212 0.054 0.066 0.03 128.638
1851_1250	0.048 0.024 0.598 1.492 0.838
capitol	0.162 2.274 0.008 2.6 0.956
30_1485	0.062 0.236 0.3 0.24 0.162
1857_24	2.398 0.208 0.012 2.336 4.046
1857_22	18.666 0.648 0.042 1.522 0.122
hasemann	0.052 0.92 0.42 0.322 0.286
1748_2036	0.1 5.222 4.39 0.098 0.19
2117_1392	0.058 0.302 0.26 0.242 0.138
1748_2032	0 5.108 1.092 4.36 17.44
34_1811	0.036 12.502 0.01 1.444 0.008
haz	0.96 8.464 0.262 0.38 5.934
richie	0.018 0.082 9.792 0.1 0.008
easy	0.186 91.614 6.478 0.008 110.714
east	1130.63 1865.21 855.582 1217.69 1722.89
25_1217	0.046 0.06 0.066 15.776 0.052
1156	7.566 121.232 0.998 0.114 17.09
possible	54.892 0.738 1.212 60.038 0.12
108_2128	0.066 2.674 0.224 0.806 11.23
shadow	0.056 0.362 0.556 0.302 22.724
719_1303	0.022 28.642 0.29 0.034 0.012
2041_2036	0 0.74 0.554 0.676 0.03
